,sqft_living,sqft_lot,sqft_above,zipcode,waterfront_view,landscape_view,price,season,season_encode
113,2080,5969,1080,98108,No,No,329950.0,Autumn,0
114,3230,16171,2520,98001,No,No,480000.0,Autumn,0
115,4380,6350,2780,98117,No,No,740500.0,Autumn,0
116,1590,1102,1590,98103,No,No,518500.0,Summer,2
117,880,6780,880,98178,No,No,205425.0,Summer,2
118,1570,9600,1570,98168,No,No,171800.0,Winter,3
119,1610,2982,1610,98144,No,No,535000.0,Spring,1
120,2400,6474,1560,98177,No,No,660000.0,Winter,3
121,1450,9132,1450,98034,No,No,391500.0,Autumn,0
122,770,6000,770,98117,No,No,395000.0,Spring,1
123,2100,4400,1720,98118,No,No,445000.0,Autumn,0
124,2910,10204,2910,98052,No,No,770000.0,Summer,2
125,2750,17789,1980,98004,No,No,1450000.0,Spring,1
126,2100,8201,1620,98178,No,No,445000.0,Summer,2
127,2160,8811,1360,98023,No,No,260000.0,Summer,2
128,2320,4960,1720,98103,No,No,822500.0,Summer,2
129,2070,4310,2070,98065,No,No,430000.0,Spring,1
130,1060,7875,1060,98092,No,No,212000.0,Winter,3
131,2010,9603,1440,98027,No,No,660500.0,Spring,1
132,3950,111078,2460,98052,No,No,784000.0,Summer,2
133,2010,2287,1390,98029,No,No,453246.0,Spring,1
134,2140,2278,2140,98107,No,No,675000.0,Winter,3
135,1320,17390,1320,98003,No,No,199000.0,Summer,2
136,2020,7840,1010,98003,No,No,220000.0,Summer,2
137,2590,10002,1340,98028,No,No,452000.0,Spring,1
138,1190,4440,1190,98125,No,No,382500.0,Summer,2
139,1170,1249,1170,98107,No,No,519950.0,Spring,1
140,1110,3200,1110,98119,No,No,665000.0,Summer,2
141,2820,9375,1550,98006,No,No,527700.0,Summer,2
142,1610,8579,1010,98058,No,No,205000.0,Spring,1
143,1060,8097,940,98133,No,No,420000.0,Spring,1
144,2030,8517,1380,98006,No,No,500000.0,Winter,3
145,3670,315374,3670,98077,No,No,921500.0,Winter,3
146,2550,4000,2370,98109,No,No,890000.0,Summer,2
147,2420,60984,2420,98027,No,No,430000.0,Summer,2
148,2260,12500,1130,98032,No,No,258000.0,Autumn,0
149,1430,3455,980,98103,No,No,511000.0,Autumn,0
150,1360,3090,1360,98103,No,No,532170.0,Summer,2
151,1110,5000,1110,98107,No,No,560000.0,Spring,1
152,1250,8200,1250,98003,No,No,282950.0,Spring,1
153,5180,19850,3540,98006,No,No,2250000.0,Spring,1
154,700,5100,700,98115,No,No,350000.0,Spring,1
155,1180,7669,1180,98058,No,No,215000.0,Summer,2
156,3960,25245,2500,98056,No,No,650000.0,Autumn,0
157,2640,7500,1620,98023,No,No,320000.0,Summer,2
158,1270,7198,1270,98022,No,No,247000.0,Autumn,0
159,1760,11180,1760,98059,No,No,320000.0,Autumn,0
160,2060,8632,1030,98146,No,No,255000.0,Spring,1
161,1780,9660,1780,98034,No,No,438000.0,Spring,1
162,3400,16603,3400,98075,No,No,900000.0,Spring,1
163,1910,7280,1160,98034,No,No,441000.0,Summer,2
164,2020,38332,1010,98027,No,No,420000.0,Summer,2
165,1580,7000,1180,98034,No,No,370000.0,Winter,3
166,1340,7250,700,98198,No,No,269950.0,Winter,3
167,2680,4499,2680,98006,No,No,807100.0,Spring,1
168,2680,9750,1610,98034,No,No,653000.0,Summer,2
169,1370,8336,1370,98133,No,No,371500.0,Summer,2
170,1560,21000,1560,98166,No,No,284000.0,Spring,1
171,2160,7140,1670,98023,No,No,272000.0,Winter,3
172,1340,7912,1340,98133,No,No,313000.0,Spring,1
173,3880,35003,2570,98033,No,No,917500.0,Winter,3
174,2590,8190,2590,98006,No,No,673000.0,Autumn,0
175,1120,1100,820,98122,No,No,425000.0,Winter,3
176,1970,5400,1320,98144,No,No,399950.0,Summer,2
177,1220,4800,1220,98122,No,No,385000.0,Spring,1
178,1950,7560,1320,98022,No,No,269950.0,Autumn,0
179,1350,8220,1060,98177,No,No,330000.0,Winter,3
180,1670,5797,1670,98030,No,No,260000.0,Summer,2
181,2380,5125,1680,98126,No,No,470000.0,Spring,1
182,2440,9600,2440,98034,No,No,589000.0,Summer,2
183,1050,3419,1050,98038,No,No,163500.0,Summer,2
184,3130,13412,2140,98052,No,No,835000.0,Autumn,0
185,4090,12850,2090,98033,No,No,1095000.0,Autumn,0
186,1490,10000,1100,98023,No,No,269000.0,Spring,1
187,1900,8744,1900,98074,No,No,560000.0,Spring,1
188,1330,2400,1330,98103,No,No,615000.0,Spring,1
189,2230,10026,1430,98052,No,No,585188.0,Winter,3
190,1650,9480,1220,98034,No,No,305000.0,Summer,2
191,1190,8820,1190,98058,No,No,166950.0,Autumn,0
192,2140,9897,2140,98040,No,No,799000.0,Autumn,0
193,2180,7508,1420,98133,No,No,400000.0,Summer,2
194,1060,10228,1060,98155,No,No,230000.0,Winter,3
195,1690,5025,1690,98023,No,No,256883.0,Spring,1
196,1970,6480,1130,98108,No,No,423000.0,Autumn,0
197,2150,4084,2150,98126,No,No,465000.0,Summer,2
198,1910,66211,1910,98024,No,No,440000.0,Winter,3
199,1350,155073,1350,98038,No,No,385000.0,Autumn,0
200,860,11725,860,98056,No,No,210000.0,Spring,1
201,1940,14952,1940,98042,No,No,297000.0,Autumn,0
202,1010,5000,1010,98107,No,No,470000.0,Summer,2
203,1300,7370,900,98023,No,No,226500.0,Summer,2
204,910,8450,910,98059,No,No,274250.0,Spring,1
205,2480,11010,1630,98040,No,No,840000.0,Summer,2
206,2440,4587,2440,98052,No,No,677900.0,Autumn,0
207,1010,5864,1010,98116,No,No,425000.0,Winter,3
208,900,9600,900,98166,No,No,180250.0,Autumn,0
209,2300,3404,1600,98133,No,No,464000.0,Summer,2
210,1550,7579,1550,98038,No,No,320000.0,Spring,1
211,1270,1566,1060,98105,No,No,625504.0,Summer,2
212,2240,12032,2240,98074,No,No,592500.0,Spring,1
213,2714,17936,2714,98001,No,No,465000.0,Winter,3
214,1720,6270,1720,98118,No,No,477000.0,Spring,1
215,850,16400,850,98168,No,No,280000.0,Winter,3
216,3300,33474,1870,98040,No,No,1505000.0,Winter,3
217,2250,5692,2250,98146,No,No,445838.0,Summer,2
218,3900,14864,1950,98144,No,No,1072000.0,Summer,2
219,1320,10800,1320,98177,No,No,467000.0,Autumn,0
220,2760,6440,2760,98075,No,No,686000.0,Summer,2
221,1750,9750,1350,98198,No,No,279950.0,Summer,2
222,2330,19436,2330,98011,No,No,527000.0,Autumn,0
223,2220,16020,1780,98030,No,No,325000.0,Autumn,0
224,2020,8379,2020,98038,No,No,328000.0,Autumn,0
225,1250,7500,1250,98146,No,No,390000.0,Summer,2
226,1510,6516,1510,98053,No,No,479950.0,Spring,1
227,1720,9753,1120,98023,No,No,264950.0,Spring,1
228,1430,15246,980,98031,No,No,235000.0,Winter,3
229,1480,4729,1480,98053,No,No,516500.0,Spring,1
230,1450,15798,1230,98166,Yes,No,655000.0,Spring,1
231,2280,15347,2280,98059,No,No,500000.0,Summer,2
232,2940,7350,1780,98023,No,No,315000.0,Autumn,0
233,1000,10200,1000,98024,No,No,213000.0,Autumn,0
234,2480,5280,1620,98108,No,No,475000.0,Autumn,0
235,3760,28040,3760,98033,No,No,1025000.0,Summer,2
236,2220,94300,1640,98010,No,No,416000.0,Spring,1
237,1970,4740,1670,98122,No,No,410000.0,Spring,1
238,3830,221284,3530,98077,No,No,800000.0,Summer,2
239,4410,14034,2350,98003,No,No,472000.0,Spring,1
240,1430,8505,1430,98003,No,No,225000.0,Winter,3
241,830,6000,830,98126,No,No,210000.0,Autumn,0
242,1430,5000,1430,98115,No,No,455000.0,Winter,3
243,1300,8316,1300,98002,No,No,225000.0,Spring,1
244,1030,3060,790,98103,No,No,480000.0,Summer,2
245,2740,11872,2740,98023,No,No,363000.0,Winter,3
246,3650,8354,1830,98074,Yes,No,2400000.0,Autumn,0
247,720,5120,720,98106,No,No,181000.0,Winter,3
248,2010,7312,2010,98002,No,No,250000.0,Spring,1
249,1560,3000,770,98103,No,No,481000.0,Spring,1
250,1810,7209,1240,98032,No,No,260000.0,Autumn,0
251,3360,7685,3360,98058,No,No,455000.0,Spring,1
252,1510,36224,1510,98045,No,No,415000.0,Spring,1
253,1400,3538,800,98118,No,No,349500.0,Spring,1
254,1730,7442,1730,98030,No,No,245000.0,Autumn,0
255,1420,9191,1420,98115,No,No,592500.0,Spring,1
256,2360,7620,1180,98106,No,No,385000.0,Autumn,0
257,1580,11455,1200,98059,No,No,315000.0,Winter,3
258,1230,10170,1230,98045,No,No,255000.0,Autumn,0
259,2460,4425,2460,98052,No,No,693000.0,Summer,2
260,1660,4400,1460,98112,No,No,780000.0,Winter,3
261,1270,8470,1270,98198,No,No,237000.0,Autumn,0
262,2100,40510,1320,98074,No,No,525000.0,Winter,3
263,770,5040,770,98144,No,No,425000.0,Spring,1
264,760,10079,760,98070,Yes,No,369900.0,Autumn,0
265,1700,7280,1700,98031,No,No,290000.0,Spring,1
266,1120,10701,1120,98106,No,No,285000.0,Autumn,0
267,1070,4500,1070,98115,No,No,415000.0,Summer,2
268,2070,9900,1420,98023,No,No,272500.0,Spring,1
269,5050,20100,4750,98004,No,No,2900000.0,Spring,1
270,5310,57346,5310,98077,No,No,1365000.0,Autumn,0
271,1040,7538,1040,98133,No,No,436000.0,Spring,1
272,1700,11390,1700,98003,No,No,210000.0,Autumn,0
273,1300,5898,1300,98178,No,No,236000.0,Autumn,0
274,1080,1306,580,98199,No,No,331000.0,Autumn,0
275,2653,4510,2653,98031,No,No,365000.0,Spring,1
276,2290,16258,2290,98058,No,No,450000.0,Winter,3
277,3820,26300,2850,98028,No,No,770000.0,Autumn,0
278,2210,49375,2210,98038,No,No,455000.0,Spring,1
279,2390,6000,1240,98118,No,No,405000.0,Spring,1
280,2600,11325,1610,98031,No,No,304900.0,Summer,2
281,860,5265,860,98178,No,No,170000.0,Winter,3
282,3830,8480,2630,98122,No,Yes,2050000.0,Spring,1
283,3500,7048,3500,98053,No,No,780000.0,Summer,2
284,2420,13959,1740,98028,No,No,330000.0,Spring,1
285,2720,8666,2720,98030,No,No,370000.0,Autumn,0
286,2500,13500,1850,98072,No,No,467000.0,Autumn,0
287,1670,6720,1140,98034,No,No,405000.0,Winter,3
288,2900,10300,1450,98006,No,No,675000.0,Summer,2
289,1640,14100,1140,98006,No,No,500000.0,Summer,2
290,1890,15770,1890,98166,No,No,389999.0,Summer,2
291,2950,9025,1780,98034,No,No,630000.0,Winter,3
292,2160,9528,2160,98001,No,No,360000.0,Autumn,0
293,3280,11060,2270,98056,No,No,580000.0,Autumn,0
294,1970,4166,1270,98126,No,No,550000.0,Summer,2
295,3360,22111,3360,98075,No,No,879000.0,Summer,2
296,1320,8959,1320,98042,No,No,265000.0,Summer,2
297,2650,7286,2650,98059,No,No,446500.0,Spring,1
298,2030,8880,1330,98108,No,No,404000.0,Summer,2
299,1590,11914,1090,98188,No,No,267500.0,Spring,1
300,4550,18641,2600,98074,Yes,No,3075000.0,Summer,2
301,2440,7632,2440,98003,No,No,335000.0,Summer,2
302,1940,9000,970,98117,No,No,576000.0,Summer,2
303,2040,3810,2040,98038,No,No,208633.0,Spring,1
304,2200,8750,1120,98166,No,No,315000.0,Winter,3
305,1920,3300,960,98112,No,No,725000.0,Winter,3
306,1800,7750,1400,98177,No,No,550000.0,Spring,1
307,2180,7297,2180,98074,No,No,610750.0,Summer,2
308,1010,5000,1010,98105,No,No,550700.0,Winter,3
309,3320,10574,2220,98056,No,No,665000.0,Winter,3
310,2370,4000,1980,98144,No,No,834000.0,Winter,3
311,1660,78408,1660,98065,No,No,201000.0,Autumn,0
312,3650,9050,3370,98119,No,No,2384000.0,Spring,1
314,4290,12103,2690,98006,No,No,1400000.0,Winter,3
315,1950,7700,1350,98058,No,No,305000.0,Autumn,0
316,2590,14052,1720,98133,No,No,487000.0,Spring,1
317,1930,64904,1930,98042,No,No,390000.0,Spring,1
318,1470,3864,1170,98103,No,No,548000.0,Summer,2
319,800,8775,800,98166,No,No,268750.0,Autumn,0
320,3150,7119,3150,98052,No,No,819900.0,Spring,1
321,2030,16200,2030,98027,No,No,520000.0,Autumn,0
322,1450,11204,1450,98001,No,No,230000.0,Summer,2
323,1510,10248,1510,98023,No,No,240000.0,Winter,3
325,1240,12092,960,98146,No,No,240500.0,Spring,1
326,3030,45004,3030,98077,No,No,274975.0,Autumn,0
327,2050,4400,2050,98102,No,No,740000.0,Autumn,0
328,1000,7636,1000,98166,No,No,186375.0,Spring,1
329,2370,10289,1590,98005,No,No,790000.0,Summer,2
330,2800,6750,1890,98105,No,No,880000.0,Autumn,0
331,2240,11180,2240,98198,No,No,279000.0,Spring,1
332,1810,10530,1810,98022,No,No,295000.0,Summer,2
333,1070,5000,1070,98103,No,No,640000.0,Spring,1
334,2490,9525,2490,98040,No,No,940000.0,Summer,2
335,1960,5238,1960,98038,No,No,260000.0,Autumn,0
336,2930,5569,1860,98072,No,No,559900.0,Summer,2
337,1510,3500,1510,98103,No,No,791500.0,Summer,2
338,1420,8250,1420,98133,No,No,265000.0,Summer,2
339,1740,11547,1740,98178,No,No,245000.0,Spring,1
340,2560,43995,2560,98052,No,No,485000.0,Spring,1
341,3040,8414,2420,98059,No,No,684000.0,Autumn,0
342,2500,6840,1300,98125,No,No,425000.0,Autumn,0
343,1275,20000,1275,98070,No,No,309600.0,Autumn,0
344,2580,5823,2580,98065,No,No,552250.0,Summer,2
346,1000,7134,1000,98178,No,No,239900.0,Winter,3
347,1070,32633,1070,98059,No,No,320000.0,Winter,3
348,1390,13464,1390,98030,No,No,206600.0,Autumn,0
349,2500,7690,1250,98155,No,No,387000.0,Spring,1
350,560,12120,560,98014,No,No,299000.0,Summer,2
351,2270,10460,2270,98040,No,No,855000.0,Autumn,0
352,1900,14400,1300,98166,No,No,315000.0,Winter,3
353,990,3120,790,98103,No,No,437500.0,Winter,3
354,1550,19800,1050,98001,No,No,252000.0,Spring,1
355,2200,7475,1100,98118,No,No,375000.0,Summer,2
356,1910,4862,1910,98038,No,No,300000.0,Summer,2
357,1750,9600,1750,98006,No,No,420000.0,Autumn,0
358,1330,77972,1330,98033,No,No,900000.0,Spring,1
359,2440,5750,1980,98116,No,No,679900.0,Summer,2
360,1640,29970,1640,98053,No,No,463000.0,Summer,2
361,2760,11340,2760,98059,No,No,380000.0,Summer,2
362,1820,7912,1820,98038,No,No,329500.0,Winter,3
363,2110,5608,1340,98033,No,No,604950.0,Summer,2
364,3040,9570,1640,98006,No,No,795000.0,Autumn,0
365,1840,40438,1840,98045,No,No,465000.0,Winter,3
366,2990,10400,2990,98166,No,No,673000.0,Spring,1
367,3520,15420,3520,98074,No,No,810000.0,Autumn,0
368,2440,69415,1910,98075,No,No,785000.0,Spring,1
369,2090,7500,1370,98056,No,No,338000.0,Autumn,0
370,1430,7222,1430,98056,No,No,280000.0,Winter,3
372,2180,10754,1100,98133,No,No,530000.0,Spring,1
373,3450,9914,3450,98023,No,No,380000.0,Winter,3
374,1450,7562,1450,98056,No,No,297000.0,Summer,2
375,3230,7331,3230,98075,No,No,730000.0,Spring,1
376,1640,13500,1110,98125,No,No,450000.0,Summer,2
377,1590,7750,1060,98038,No,No,275000.0,Autumn,0
378,2020,2849,2020,98115,No,No,595000.0,Spring,1
379,1300,3348,1300,98144,No,No,435000.0,Spring,1
380,1380,209959,1380,98011,No,No,270000.0,Autumn,0
381,4040,14338,3030,98077,No,No,950000.0,Summer,2
382,2130,5337,2130,98019,No,No,389000.0,Spring,1
383,2550,7800,1580,98052,No,No,560000.0,Winter,3
384,4800,14984,3480,98006,No,No,1350000.0,Summer,2
385,2510,11585,2510,98040,No,No,799000.0,Autumn,0
386,1410,9600,1410,98072,No,No,365500.0,Summer,2
387,1650,7352,1160,98058,No,No,252350.0,Spring,1
388,2120,13780,2120,98146,No,No,403950.0,Autumn,0
389,2040,10726,1380,98177,No,No,385000.0,Summer,2
390,1550,7620,1550,98106,No,No,345000.0,Winter,3
391,1980,3128,1980,98008,No,No,490000.0,Autumn,0
392,1600,26977,1600,98019,No,No,330000.0,Summer,2
393,3300,12090,3300,98004,No,No,927000.0,Spring,1
394,3840,16619,3840,98040,No,Yes,1118000.0,Summer,2
395,1220,10000,1220,98028,No,No,330000.0,Spring,1
396,2720,8800,1500,98008,No,No,530000.0,Spring,1
397,1940,25600,1940,98006,No,No,365000.0,Summer,2
398,2160,3000,1260,98118,No,No,378750.0,Summer,2
399,1530,8750,1530,98058,No,No,269900.0,Summer,2
400,1710,2096,1290,98122,No,No,557000.0,Spring,1
401,3730,16980,2150,98022,No,No,360000.0,Summer,2
402,940,5000,940,98117,No,No,352000.0,Spring,1
403,1750,22357,1750,98045,No,No,437000.0,Winter,3
404,1820,6753,1820,98038,No,No,322500.0,Summer,2
405,1510,2000,1330,98116,No,No,650000.0,Autumn,0
406,1290,1213,1290,98103,No,No,450000.0,Summer,2
407,1570,5250,1570,98092,No,No,278500.0,Spring,1
408,1930,6957,1930,98055,No,No,364950.0,Spring,1
409,2840,40139,2840,98038,No,No,840000.0,Autumn,0
410,1550,8134,1550,98031,No,No,268000.0,Spring,1
411,833,143947,833,98070,No,No,517534.0,Summer,2
412,2990,32239,2990,98077,No,No,632925.0,Autumn,0
413,2000,7251,2000,98034,No,No,577500.0,Summer,2
414,2390,7480,2390,98178,No,No,339000.0,Winter,3
415,2910,37461,1530,98052,No,No,570000.0,Autumn,0
416,2085,174240,1610,98024,No,No,563500.0,Summer,2
417,2200,9351,1290,98133,No,No,423000.0,Winter,3
418,1860,5028,1860,98019,No,No,355000.0,Winter,3
419,6070,171626,6070,98024,No,No,1550000.0,Summer,2
420,950,3960,950,98103,No,No,482000.0,Winter,3
421,1600,9135,1600,98006,No,No,625000.0,Summer,2
422,2250,11632,2250,98056,No,No,538000.0,Winter,3
423,2280,10255,2280,98058,No,No,380000.0,Winter,3
424,940,5120,940,98122,No,No,375000.0,Summer,2
425,1530,8500,1030,98038,No,No,245000.0,Spring,1
426,2190,27260,2190,98166,No,No,310000.0,Autumn,0
427,2350,15021,1770,98004,No,No,1300000.0,Winter,3
428,1440,7680,1200,98034,No,No,397000.0,Spring,1
429,2200,4052,2200,98058,No,No,365000.0,Spring,1
430,2290,8250,2290,98042,No,No,328500.0,Autumn,0
431,4040,19700,4040,98052,No,No,988000.0,Autumn,0
432,2610,3277,1920,98103,No,No,1000000.0,Summer,2
433,1490,2138,1490,98055,No,No,237000.0,Autumn,0
434,2450,5280,2450,98011,No,No,525000.0,Autumn,0
435,1710,9627,1440,98006,No,No,749000.0,Autumn,0
436,4870,11800,3470,98074,No,No,722500.0,Summer,2
437,3130,8750,3130,98052,No,No,843000.0,Spring,1
438,1270,1372,1270,98115,No,No,438000.0,Summer,2
439,2120,10875,1540,98146,No,No,578000.0,Autumn,0
440,1670,8230,1670,98001,No,No,227950.0,Autumn,0
441,2070,11576,2070,98001,No,No,196000.0,Summer,2
442,1420,5332,1070,98105,No,No,641000.0,Summer,2
443,1250,219978,1250,98038,No,No,350000.0,Spring,1
444,940,7980,940,98032,No,No,205000.0,Summer,2
445,1920,9102,1920,98072,No,No,400000.0,Winter,3
446,3545,9816,2610,98027,No,No,1030000.0,Autumn,0
447,1260,5460,1260,98034,No,No,505000.0,Spring,1
448,2340,7200,1300,98034,No,No,475000.0,Autumn,0
449,2590,9263,1440,98028,No,No,520000.0,Autumn,0
450,3970,24920,3260,98034,No,No,1450000.0,Spring,1
451,1220,9732,1220,98011,No,No,333500.0,Winter,3
452,1400,10403,1400,98038,No,No,232000.0,Winter,3
453,2360,16117,1710,98006,No,No,691100.0,Spring,1
454,1870,9897,1870,98040,No,No,811000.0,Autumn,0
455,2830,5802,2830,98028,No,No,551000.0,Spring,1
456,2260,3640,2260,98072,No,No,496500.0,Winter,3
457,1970,20978,1770,98070,Yes,No,705000.0,Autumn,0
458,3140,9225,1770,98055,No,No,578000.0,Summer,2
459,1240,8659,1240,98042,No,No,255000.0,Winter,3
460,3450,7832,3450,98006,No,No,1050000.0,Summer,2
461,2570,8491,2570,98042,No,No,348000.0,Spring,1
462,1510,3413,1510,98031,No,No,230000.0,Autumn,0
463,2390,11250,2390,98023,No,No,359500.0,Winter,3
464,980,7000,980,98133,No,No,330000.0,Autumn,0
465,430,5050,430,98014,No,No,80000.0,Spring,1
466,1480,6360,1480,98133,No,No,465000.0,Winter,3
467,1850,7324,1850,98042,No,No,325000.0,Autumn,0
468,2270,28025,1920,98168,No,No,340500.0,Winter,3
469,1810,5192,1810,98038,No,No,342500.0,Winter,3
470,1610,17600,1610,98178,No,No,290900.0,Summer,2
471,3840,6161,3840,98074,No,No,868700.0,Winter,3
472,4110,8400,3130,98125,No,Yes,1199000.0,Autumn,0
473,4190,10259,3150,98074,No,No,1150000.0,Autumn,0
474,3390,6298,3390,98074,No,No,859900.0,Summer,2
475,1890,3006,1890,98029,No,No,520000.0,Summer,2
476,1610,2527,1080,98118,No,No,460000.0,Summer,2
477,1050,4590,850,98115,No,No,438924.0,Autumn,0
478,630,6550,630,98126,No,No,315000.0,Spring,1
479,2910,10650,1780,98033,No,No,590000.0,Summer,2
480,1700,8640,850,98006,No,No,378500.0,Autumn,0
