,bedrooms,bathrooms,sqft_living,floors,yr_built,zipcode,waterfront_view,landscape_view,condition_evaluation,grade_evaluation,renovated,price/sqft
53,2,1,1980,1,1981,98117,No,No,Regular,Regular,No,295.45
54,5,2,2730,1,1927,98105,No,No,Regular,Regular,No,337.0
55,4,2,2830,2,1995,98105,No,No,Regular,Good,No,312.72
56,4,2,2250,2,2008,98042,No,No,Regular,Regular,No,130.0
57,3,2,2420,2,2003,98042,No,No,Regular,Regular,No,124.38
58,5,3,3250,2,1968,98008,No,No,God,Regular,No,292.62
59,4,3,1850,2,1991,98059,No,No,Regular,Regular,No,232.43
60,3,2,2150,1,1959,98166,No,No,God,Regular,No,302.33
61,3,1,1260,1,1954,98148,No,No,Regular,Regular,No,229.37
62,3,1,2519,2,1973,98166,No,No,Really Good,Regular,No,200.48
63,3,1,1540,3,2014,98115,No,No,Regular,Regular,No,356.49
64,3,2,1660,1,1979,98122,No,No,Regular,Regular,No,256.02
65,3,2,2770,1,1925,98144,No,No,Really Good,Regular,No,114.67
66,4,2,2720,2,1989,98004,No,No,Regular,Good,No,358.46
67,4,2,2240,2,2005,98001,No,No,Regular,Regular,No,128.12
68,3,1,1000,1,1968,98042,No,No,God,Regular,No,204.0
69,5,2,3200,1,1965,98004,No,No,Regular,Regular,No,414.06
70,5,3,4770,1,1973,98005,No,No,God,Good,No,218.03
71,3,2,1260,1,1972,98034,No,No,God,Regular,No,257.94
72,4,2,2750,1,1916,98125,No,No,Really Good,Regular,No,207.64
73,4,2,2380,2,2005,98038,No,No,Regular,Regular,No,151.26
74,3,1,1790,1,1965,98042,No,No,Really Good,Regular,No,194.97
75,4,4,3430,2,1986,98075,No,No,God,Good,No,242.71
76,4,1,1760,1,1956,98008,No,No,Regular,Regular,No,215.91
77,3,1,1040,1,1941,98116,No,No,Regular,Regular,No,461.54
78,3,1,1410,1,1956,98133,No,No,God,Regular,No,290.78
79,4,2,3450,2,2002,98010,No,No,Regular,Good,No,208.7
80,3,2,2350,2,2003,98038,No,No,Regular,Regular,No,165.96
81,4,2,1900,2,1992,98038,No,No,Regular,Regular,No,189.47
82,2,1,2020,1,1948,98118,No,No,Regular,Regular,No,175.74
83,3,1,1680,1,1964,98059,No,No,Regular,Regular,No,211.9
84,3,1,960,1,1952,98125,No,No,Regular,Regular,No,328.12
85,3,1,2140,2,1925,98119,No,No,Regular,Good,No,439.25
86,5,2,2660,1,1961,98092,No,No,Really Good,Regular,No,114.66
87,3,3,2770,2,2006,98056,No,No,Regular,Good,No,166.43
88,2,2,1610,2,1979,98056,No,No,God,Regular,No,133.54
89,2,1,1030,2,2006,98136,No,No,Regular,Regular,No,325.24
90,4,2,1980,2,1988,98023,No,No,Regular,Regular,No,122.98
91,5,2,3520,2,2001,98199,No,No,God,Good,No,312.47
92,3,1,1200,1,1962,98023,No,No,Regular,Regular,No,127.5
94,3,1,1580,1,1939,98117,No,No,Regular,Regular,No,443.04
95,4,2,3300,1,1946,98040,No,No,Regular,Regular,Yes,274.24
96,3,1,1960,1,1967,98032,No,No,Regular,Regular,No,126.28
97,4,1,1160,1,1975,98023,No,No,God,Regular,No,171.55
98,3,1,1810,1,1980,98038,No,No,Really Good,Regular,No,173.48
99,3,2,2320,2,1992,98045,No,No,Regular,Good,No,188.58
100,3,2,2070,1,1910,98102,No,No,Really Good,Good,No,411.03
101,3,2,1980,1,1929,98117,No,No,God,Regular,No,280.3
102,3,2,2190,2,1983,98077,No,No,God,Regular,No,319.61
103,3,2,2920,2,1950,98004,No,No,Regular,Regular,Yes,372.6
104,3,1,1210,1,1954,98058,No,No,Regular,Regular,No,239.67
105,3,2,2340,1,1978,98058,No,No,God,Regular,No,160.26
106,3,1,1670,1,1939,98117,No,No,God,Regular,No,275.45
107,2,1,1240,1,1985,98198,No,No,God,Regular,No,152.02
108,4,2,3140,2,1991,98077,No,No,God,Good,No,216.56
109,5,1,2030,2,1942,98052,No,No,God,Regular,No,231.53
110,4,2,2310,2,1984,98027,No,No,Regular,Regular,No,258.77
111,3,1,1260,1,1905,98103,No,No,Really Good,Regular,No,452.38
112,3,1,1540,1,1980,98038,No,No,God,Regular,No,176.95
113,3,1,2080,1,1971,98108,No,No,Regular,Regular,No,158.63
114,4,2,3230,2,2001,98001,No,No,Regular,Good,No,148.61
115,3,3,4380,2,1900,98117,No,No,Regular,Regular,Yes,169.06
116,3,3,1590,3,2010,98103,No,No,Regular,Regular,No,326.1
117,2,1,880,1,1945,98178,No,No,God,Regular,No,233.44
118,4,2,1570,1,1950,98168,No,No,Regular,Regular,No,109.43
119,4,1,1610,1,1925,98144,No,No,God,Regular,No,332.3
120,3,2,2400,1,1964,98177,No,No,Regular,Regular,No,275.0
121,3,2,1450,1,1987,98034,No,No,Regular,Regular,No,270.0
122,2,1,770,1,1953,98117,No,No,Regular,Regular,No,512.99
123,4,1,2100,1,1924,98118,No,No,Really Good,Regular,No,211.9
124,3,2,2910,2,1990,98052,No,No,Regular,Good,No,264.6
125,4,2,2750,1,1914,98004,No,No,Regular,Regular,Yes,527.27
126,3,2,2100,1,1967,98178,No,No,Regular,Regular,No,211.9
127,4,2,2160,1,1978,98023,No,No,Regular,Regular,No,120.37
128,5,3,2320,2,1926,98103,No,No,Really Good,Regular,No,354.53
129,4,2,2070,2,2004,98065,No,No,Regular,Regular,No,207.73
130,3,1,1060,1,1986,98092,No,No,God,Regular,No,200.0
131,4,2,2010,1,1986,98027,No,No,Regular,Regular,No,328.61
132,3,3,3950,1,1989,98052,No,No,Regular,Good,No,198.48
133,3,2,2010,2,2014,98029,No,No,Regular,Regular,No,225.5
134,4,3,2140,3,2005,98107,No,No,Regular,Good,No,315.42
135,3,1,1320,1,1956,98003,No,No,God,Regular,No,150.76
136,4,1,2020,1,1968,98003,No,No,Regular,Regular,No,108.91
137,4,2,2590,1,1968,98028,No,No,God,Regular,No,174.52
138,2,1,1190,1,1981,98125,No,No,Regular,Regular,No,321.43
139,3,2,1170,3,2014,98107,No,No,Regular,Regular,No,444.4
140,2,1,1110,1,1925,98119,No,No,Regular,Regular,No,599.1
141,5,2,2820,1,1968,98006,No,No,God,Regular,No,187.13
142,3,1,1610,1,1962,98058,No,No,God,Regular,No,127.33
143,3,1,1060,1,1923,98133,No,No,God,Regular,No,396.23
144,4,2,2030,1,1961,98006,No,No,God,Regular,No,246.31
145,4,2,3670,2,1994,98077,No,No,God,Good,No,251.09
146,4,1,2550,2,1905,98109,No,No,Regular,Regular,No,349.02
147,2,2,2420,2,2007,98027,No,No,Regular,Regular,No,177.69
148,5,2,2260,1,1960,98032,No,No,God,Regular,No,114.16
149,3,1,1430,1,1947,98103,No,No,Regular,Regular,No,357.34
150,3,2,1360,2,1990,98103,No,No,Regular,Regular,No,391.3
151,3,1,1110,1,1947,98107,No,No,Regular,Regular,No,504.5
152,3,1,1250,1,1954,98003,No,No,God,Regular,No,226.36
153,4,3,5180,2,2006,98006,No,No,Regular,Good,No,434.36
154,1,1,700,1,1942,98115,No,No,Regular,Regular,No,500.0
155,3,1,1180,1,1967,98058,No,No,God,Regular,No,182.2
156,5,3,3960,2,1996,98056,No,No,Regular,Good,No,164.14
157,4,2,2640,1,1967,98023,No,No,Regular,Regular,No,121.21
158,3,2,1270,1,1916,98022,No,No,Regular,Regular,Yes,194.49
159,4,1,1760,1,1968,98059,No,No,God,Regular,No,181.82
160,5,2,2060,1,1962,98146,No,No,Regular,Regular,No,123.79
161,3,1,1780,1,1962,98034,No,No,Regular,Regular,No,246.07
162,3,2,3400,2,2000,98075,No,No,Regular,Good,No,264.71
163,3,2,1910,1,1979,98034,No,No,Regular,Regular,No,230.89
164,3,2,2020,1,1975,98027,No,No,God,Regular,No,207.92
165,3,1,1580,1,1976,98034,No,No,Regular,Regular,No,234.18
166,2,1,1340,1,1949,98198,No,No,Really Good,Regular,No,201.46
167,4,2,2680,2,1999,98006,No,No,Regular,Good,No,301.16
168,3,2,2680,1,1979,98034,No,No,God,Regular,No,243.66
169,3,2,1370,1,1964,98133,No,No,Really Good,Regular,No,271.17
170,3,1,1560,1,1954,98166,No,No,Regular,Regular,No,182.05
171,3,1,2160,1,1978,98023,No,No,God,Regular,No,125.93
172,3,1,1340,1,1955,98133,No,No,Regular,Regular,No,233.58
173,4,2,3880,2,1984,98033,No,No,Regular,Good,No,236.47
174,4,2,2590,2,1980,98006,No,No,God,Regular,No,259.85
175,3,2,1120,2,2008,98122,No,No,Regular,Regular,No,379.46
176,5,2,1970,1,1986,98144,No,No,Regular,Regular,No,203.02
177,3,1,1220,1,1901,98122,No,No,Regular,Regular,No,315.57
178,3,1,1950,1,1975,98022,No,No,God,Regular,No,138.44
179,2,1,1350,1,1949,98177,No,No,Regular,Regular,No,244.44
180,3,2,1670,2,1988,98030,No,No,Regular,Regular,No,155.69
181,4,3,2380,1,1925,98126,No,No,God,Regular,No,197.48
182,4,3,2440,2,1961,98034,No,No,Really Good,Regular,No,241.39
183,2,1,1050,2,1996,98038,No,No,Regular,Regular,No,155.71
184,4,2,3130,2,1993,98052,No,No,Regular,Good,No,266.77
185,5,3,4090,1,1986,98033,No,No,God,Good,No,267.73
186,4,1,1490,1,1969,98023,No,No,God,Regular,No,180.54
187,3,2,1900,2,1987,98074,No,No,Regular,Regular,No,294.74
188,4,1,1330,1,1901,98103,No,No,God,Regular,No,462.41
189,3,2,2230,1,1975,98052,No,No,Regular,Regular,No,262.42
190,3,1,1650,1,1977,98034,No,No,Regular,Regular,No,184.85
191,3,1,1190,1,1959,98058,No,No,Regular,Regular,No,140.29
192,3,2,2140,1,1959,98040,No,No,God,Regular,No,373.36
193,3,2,2180,1,1962,98133,No,No,God,Regular,No,183.49
194,3,1,1060,1,1948,98155,No,No,Regular,Regular,No,216.98
195,3,2,1690,2,2003,98023,No,No,Regular,Regular,No,152.0
196,4,2,1970,1,1920,98108,No,No,Really Good,Regular,No,214.72
197,3,2,2150,2,2007,98126,No,No,Regular,Regular,No,216.28
198,3,2,1910,2,1997,98024,No,No,Regular,Regular,No,230.37
199,3,1,1350,1,1969,98038,No,No,God,Regular,No,285.19
200,3,1,860,1,1943,98056,No,No,God,Regular,No,244.19
201,3,2,1940,2,1994,98042,No,No,Regular,Regular,No,153.09
202,3,1,1010,1,1952,98107,No,No,Regular,Regular,No,465.35
203,3,1,1300,1,1976,98023,No,No,God,Regular,No,174.23
204,3,1,910,1,1962,98059,No,No,God,Regular,No,301.37
205,4,1,2480,1,1966,98040,No,No,God,Good,No,338.71
206,3,2,2440,2,2010,98052,No,No,Regular,Regular,No,277.83
207,3,1,1010,1,1915,98116,No,No,Regular,Regular,No,420.79
208,2,0,900,1,1941,98166,No,No,Regular,Regular,No,200.28
209,6,3,2300,2,1920,98133,No,No,Regular,Regular,Yes,201.74
210,4,2,1550,2,1993,98038,No,No,Regular,Regular,No,206.45
211,3,2,1270,2,2014,98105,No,No,Regular,Regular,No,492.52
212,4,2,2240,1,1983,98074,No,No,Regular,Good,No,264.51
213,3,2,2714,2,2005,98001,No,No,Regular,Good,No,171.33
214,4,2,1720,2,1978,98118,No,No,Regular,Regular,No,277.33
215,2,1,850,1,1923,98168,No,No,Regular,Regular,No,329.41
216,5,3,3300,1,1957,98040,No,No,Regular,Good,Yes,456.06
217,3,2,2250,2,2000,98146,No,No,Regular,Regular,No,198.15
218,2,2,3900,1,1947,98144,No,No,Regular,Regular,No,274.87
219,2,1,1320,1,1947,98177,No,No,God,Regular,No,353.79
220,4,2,2760,2,1999,98075,No,No,Regular,Good,No,248.55
221,3,2,1750,1,1961,98198,No,No,Regular,Regular,No,159.97
222,4,2,2330,2,1987,98011,No,No,Regular,Regular,No,226.18
223,3,2,2220,1,1966,98030,No,No,God,Regular,No,146.4
224,3,2,2020,2,1994,98038,No,No,Regular,Regular,No,162.38
225,3,2,1250,1,1942,98146,No,No,Really Good,Regular,No,312.0
226,2,2,1510,1,2005,98053,No,No,Regular,Regular,No,317.85
227,4,2,1720,1,1978,98023,No,No,God,Regular,No,154.04
228,3,1,1430,1,1961,98031,No,No,God,Regular,No,164.34
229,3,2,1480,2,2004,98053,No,No,Regular,Regular,No,348.99
230,2,1,1450,2,1915,98166,Yes,No,Regular,Regular,Yes,451.72
231,4,2,2280,1,1960,98059,No,No,Really Good,Regular,No,219.3
232,6,2,2940,1,1978,98023,No,No,Regular,Regular,No,107.14
233,2,1,1000,1,1961,98024,No,No,Regular,Regular,No,213.0
234,3,1,2480,1,1947,98108,No,No,Really Good,Regular,No,191.53
235,5,4,3760,2,1983,98033,No,No,Regular,Good,No,272.61
236,3,2,2220,1,1976,98010,No,No,Really Good,Regular,No,187.39
237,4,1,1970,1,1904,98122,No,No,Regular,Regular,Yes,208.12
238,3,3,3830,2,1993,98077,No,No,Regular,Good,No,208.88
239,6,2,4410,1,1965,98003,No,No,God,Good,No,107.03
240,3,1,1430,1,1968,98003,No,No,God,Regular,No,157.34
241,2,1,830,1,1940,98126,No,No,Regular,Regular,No,253.01
242,2,1,1430,1,1925,98115,No,No,Bad,Regular,No,318.18
243,3,1,1300,1,1954,98002,No,No,God,Regular,No,173.08
244,2,1,1030,1,1918,98103,No,No,God,Regular,No,466.02
245,3,2,2740,2,1990,98023,No,No,Regular,Good,No,132.48
246,4,2,3650,1,2000,98074,Yes,No,Regular,Good,No,657.53
247,2,1,720,1,1954,98106,No,No,Regular,Regular,No,251.39
248,4,2,2010,1,1976,98002,No,No,God,Regular,No,124.38
249,3,1,1560,1,1918,98103,No,No,God,Regular,No,308.33
250,3,2,1810,1,1978,98032,No,No,God,Regular,No,143.65
251,4,2,3360,2,2001,98058,No,No,Regular,Good,No,135.42
252,3,2,1510,2,1991,98045,No,No,Regular,Regular,No,274.83
253,3,1,1400,1,1953,98118,No,No,Regular,Regular,No,249.64
254,3,2,1730,2,1987,98030,No,No,Regular,Regular,No,141.62
255,2,2,1420,1,1928,98115,No,No,Really Good,Regular,No,417.25
256,4,1,2360,1,1955,98106,No,No,God,Regular,No,163.14
257,3,1,1580,1,1974,98059,No,No,God,Regular,No,199.37
258,3,1,1230,1,1979,98045,No,No,Regular,Regular,No,207.32
259,4,2,2460,2,2006,98052,No,No,Regular,Regular,No,281.71
260,3,1,1660,1,1911,98112,No,No,Regular,Regular,No,469.88
261,3,1,1270,1,1960,98198,No,No,God,Regular,No,186.61
262,3,2,2100,2,1979,98074,No,No,Regular,Good,No,250.0
263,2,1,770,1,1930,98144,No,No,Regular,Regular,No,551.95
264,1,0,760,1,1936,98070,Yes,No,Really Good,Regular,No,486.71
265,4,2,1700,2,1988,98031,No,No,God,Regular,No,170.59
266,3,1,1120,1,1954,98106,No,No,Regular,Regular,No,254.46
267,2,1,1070,1,1937,98115,No,No,Regular,Regular,No,387.85
268,3,2,2070,1,1979,98023,No,No,Regular,Regular,No,131.64
269,4,3,5050,1,1982,98004,No,No,Regular,Good,Yes,574.26
270,4,4,5310,2,1989,98077,No,No,God,Good,No,257.06
271,2,1,1040,1,1939,98133,No,No,God,Regular,No,419.23
272,3,1,1700,1,1967,98003,No,No,God,Regular,No,123.53
273,3,1,1300,1,1961,98178,No,No,Regular,Regular,No,181.54
274,3,1,1080,1,1954,98199,No,No,Regular,Regular,Yes,306.48
275,3,2,2653,2,2006,98031,No,No,Regular,Regular,No,137.58
276,3,2,2290,1,1960,98058,No,No,Really Good,Regular,No,196.51
277,4,2,3820,2,2014,98028,No,No,Regular,Good,No,201.57
278,4,2,2210,1,1997,98038,No,No,Regular,Regular,No,205.88
279,3,1,2390,1,1908,98118,No,No,Regular,Regular,No,169.46
280,4,1,2600,1,1969,98031,No,No,God,Regular,No,117.27
281,2,1,860,1,1931,98178,No,No,Regular,Regular,No,197.67
282,5,3,3830,2,1905,98122,No,Yes,Really Good,Good,Yes,535.25
283,4,2,3500,2,2005,98053,No,No,Regular,Good,No,222.86
284,3,3,2420,1,1988,98028,No,No,God,Regular,No,136.36
285,4,2,2720,2,1992,98030,No,No,Regular,Good,No,136.03
286,5,2,2500,1,1979,98072,No,No,Regular,Regular,No,186.8
287,3,1,1670,1,1980,98034,No,No,Regular,Regular,No,242.51
288,5,2,2900,1,1985,98006,No,No,Regular,Regular,No,232.76
289,2,1,1640,1,1954,98006,No,No,God,Regular,No,304.88
290,4,2,1890,2,1968,98166,No,No,God,Regular,No,206.35
291,4,1,2950,1,1975,98034,No,No,God,Regular,No,213.56
292,4,2,2160,2,1992,98001,No,No,Regular,Good,No,166.67
293,4,3,3280,2,1986,98056,No,No,Regular,Regular,No,176.83
294,3,2,1970,2,1929,98126,No,No,Really Good,Regular,No,279.19
295,4,2,3360,2,1994,98075,No,No,Regular,Good,No,261.61
296,3,2,1320,1,1993,98042,No,No,Regular,Regular,No,200.76
297,3,2,2650,2,1990,98059,No,No,Regular,Regular,No,168.49
298,3,1,2030,1,1963,98108,No,No,Regular,Regular,No,199.01
299,3,1,1590,1,1957,98188,No,No,Regular,Regular,No,168.24
300,4,5,4550,1,2002,98074,Yes,No,Regular,Good,No,675.82
301,3,2,2440,2,1998,98003,No,No,Regular,Regular,No,137.3
302,3,2,1940,1,1948,98117,No,No,God,Regular,No,296.91
303,3,2,2040,2,2006,98038,No,No,Regular,Regular,No,102.27
304,3,2,2200,1,1964,98166,No,No,God,Regular,No,143.18
305,3,1,1920,1,1913,98112,No,No,God,Regular,No,377.6
306,4,2,1800,1,1965,98177,No,No,God,Regular,No,305.56
307,4,2,2180,2,1984,98074,No,No,Regular,Regular,No,280.16
308,2,1,1010,1,1908,98105,No,No,God,Regular,No,545.25
309,4,2,3320,2,1960,98056,No,No,Really Good,Regular,No,200.3
310,4,2,2370,1,1928,98144,No,No,Really Good,Regular,No,351.9
311,5,1,1660,1,1915,98065,No,No,Regular,Regular,No,121.08
312,5,2,3650,2,1921,98119,No,No,Really Good,Good,No,653.15
314,4,3,4290,1,1997,98006,No,No,Regular,Good,No,326.34
315,4,2,1950,1,1979,98058,No,No,Regular,Regular,No,156.41
316,3,2,2590,1,1948,98133,No,No,Really Good,Regular,No,188.03
317,3,2,1930,1,1988,98042,No,No,God,Regular,No,202.07
318,2,1,1470,1,1916,98103,No,No,God,Regular,No,372.79
319,4,1,800,1,1943,98166,No,No,Regular,Regular,No,335.94
320,5,2,3150,2,2013,98052,No,No,Regular,Good,No,260.29
321,3,2,2030,2,1984,98027,No,No,Regular,Regular,No,256.16
322,3,2,1450,1,2003,98001,No,No,Regular,Regular,No,158.62
323,3,1,1510,1,1969,98023,No,No,Regular,Regular,No,158.94
325,2,1,1240,1,1922,98146,No,No,Regular,Regular,Yes,193.95
326,3,2,3030,2,1987,98077,No,No,Regular,Good,No,90.75
327,4,2,2050,1,1922,98102,No,No,God,Good,No,360.98
328,3,1,1000,1,1952,98166,No,No,Bad,Regular,No,186.38
329,3,2,2370,1,1977,98005,No,No,God,Good,No,333.33
330,4,3,2800,2,1951,98105,No,No,Regular,Good,Yes,314.29
331,6,1,2240,2,1955,98198,No,No,God,Regular,No,124.55
332,3,2,1810,1,1991,98022,No,No,Regular,Regular,No,162.98
333,2,1,1070,1,1924,98103,No,No,Regular,Regular,No,598.13
334,4,2,2490,2,1968,98040,No,No,Really Good,Good,No,377.51
335,4,2,1960,2,2003,98038,No,No,Regular,Regular,No,132.65
336,3,2,2930,1,2004,98072,No,No,Regular,Good,No,191.09
337,4,2,1510,1,1911,98103,No,No,Really Good,Regular,No,524.17
338,3,1,1420,1,1954,98133,No,No,Regular,Regular,No,186.62
339,3,1,1740,1,1954,98178,No,No,Regular,Regular,No,140.8
340,4,1,2560,2,1962,98052,No,No,God,Regular,No,189.45
341,4,3,3040,2,2010,98059,No,No,Regular,Good,No,225.0
342,3,1,2500,1,1957,98125,No,No,Regular,Regular,No,170.0
343,4,1,1275,1,1991,98070,No,No,God,Regular,No,242.82
344,4,2,2580,2,2002,98065,No,No,Regular,Regular,No,214.05
346,4,1,1000,1,1943,98178,No,No,Regular,Regular,No,239.9
347,2,1,1070,1,1930,98059,No,No,God,Regular,No,299.07
348,3,2,1390,1,1987,98030,No,No,God,Regular,No,148.63
349,4,1,2500,1,1973,98155,No,No,Regular,Regular,No,154.8
350,1,0,560,1,1967,98014,No,No,Regular,Bad,No,533.93
351,4,2,2270,2,1965,98040,No,No,Regular,Good,No,376.65
352,3,1,1900,1,1954,98166,No,No,God,Regular,No,165.79
353,2,1,990,1,1907,98103,No,No,Really Good,Regular,No,441.92
354,4,1,1550,1,1969,98001,No,No,God,Regular,No,162.58
355,4,1,2200,1,1955,98118,No,No,Really Good,Regular,No,170.45
356,4,2,1910,2,2005,98038,No,No,Regular,Regular,No,157.07
357,4,1,1750,1,1954,98006,No,No,God,Regular,No,240.0
358,3,1,1330,1,1928,98033,No,No,Regular,Regular,Yes,676.69
359,3,2,2440,2,2000,98116,No,No,Regular,Good,No,278.65
360,3,2,1640,2,1992,98053,No,No,Regular,Regular,No,282.32
361,5,2,2760,2,1978,98059,No,No,God,Good,No,137.68
362,4,2,1820,2,1994,98038,No,No,Regular,Regular,No,181.04
363,3,2,2110,1,2013,98033,No,No,Regular,Regular,No,286.71
364,5,2,3040,1,1966,98006,No,No,God,Regular,No,261.51
365,3,2,1840,2,1994,98045,No,No,Regular,Regular,No,252.72
366,4,2,2990,2,2002,98166,No,No,Regular,Good,No,225.08
367,4,2,3520,2,1991,98074,No,No,Regular,Good,No,230.11
368,4,2,2440,1,1989,98075,No,No,God,Regular,No,321.72
369,4,3,2090,1,1986,98056,No,No,Regular,Regular,No,161.72
370,3,2,1430,2,1993,98056,No,No,Regular,Regular,No,195.8
372,4,2,2180,1,1954,98133,No,No,Really Good,Regular,No,243.12
373,5,3,3450,2,2004,98023,No,No,Regular,Good,No,110.14
374,3,2,1450,2,1994,98056,No,No,Regular,Regular,No,204.83
375,4,2,3230,2,2004,98075,No,No,Regular,Good,No,226.01
376,3,1,1640,1,1940,98125,No,No,Regular,Regular,No,274.39
377,3,3,1590,1,1997,98038,No,No,Regular,Regular,No,172.96
378,4,2,2020,2,1960,98115,No,No,Regular,Regular,No,294.55
379,3,1,1300,1,1904,98144,No,No,Regular,Regular,Yes,334.62
380,2,1,1380,1,1954,98011,No,No,Really Bad,Regular,No,195.65
381,3,3,4040,2,1986,98077,No,No,Regular,Good,No,235.15
382,4,2,2130,2,2001,98019,No,No,Regular,Regular,No,182.63
383,4,2,2550,1,1968,98052,No,No,Regular,Regular,No,219.61
384,5,3,4800,2,1998,98006,No,No,Regular,Good,No,281.25
385,4,2,2510,2,1969,98040,No,No,God,Regular,No,318.33
386,3,2,1410,1,1983,98072,No,No,God,Regular,No,259.22
387,3,2,1650,1,1979,98058,No,No,Regular,Regular,No,152.94
388,4,2,2120,2,1993,98146,No,No,Regular,Regular,No,190.54
389,4,1,2040,1,1954,98177,No,No,Regular,Regular,No,188.73
390,4,1,1550,1,1957,98106,No,No,Regular,Regular,No,222.58
391,3,2,1980,2,1979,98008,No,No,God,Good,No,247.47
392,3,2,1600,2,2005,98019,No,No,Regular,Regular,No,206.25
393,4,2,3300,2,1953,98004,No,No,Regular,Regular,No,280.91
394,4,2,3840,2,1983,98040,No,Yes,God,Good,No,291.15
395,2,1,1220,1,1950,98028,No,No,Really Good,Regular,No,270.49
396,5,2,2720,1,1958,98008,No,No,God,Regular,No,194.85
397,4,2,1940,1,1962,98006,No,No,Really Bad,Regular,No,188.14
398,3,2,2160,1,1909,98118,No,No,Regular,Regular,Yes,175.35
399,4,1,1530,1,1968,98058,No,No,God,Regular,No,176.41
400,3,3,1710,2,2008,98122,No,No,Regular,Regular,No,325.73
401,4,1,3730,1,1974,98022,No,No,God,Regular,No,96.51
402,2,1,940,1,1937,98117,No,No,God,Regular,No,374.47
403,3,2,1750,2,1994,98045,No,No,Regular,Regular,No,249.71
404,4,2,1820,2,1994,98038,No,No,Regular,Regular,No,177.2
405,3,3,1510,2,2001,98116,No,No,Regular,Good,No,430.46
406,3,2,1290,3,2001,98103,No,No,Regular,Regular,No,348.84
